10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
228.22%;-105.96%;28.04%;-1.965;{'fcfy': 0.7, 'roic_wacc': 0.3}
228.16%;-106.02%;18.29%;-1.513;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
228.15%;-106.03%;17.83%;-0.808;{'roe': 0.9, 'dividend_yield': 0.1}
227.86%;-106.31%;21.19%;-1.132;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
227.82%;-106.36%;20.39%;-0.299;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
227.78%;-106.40%;28.26%;-0.838;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.4}
227.73%;-106.44%;20.57%;-1.001;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
227.47%;-106.71%;23.35%;-0.314;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
227.41%;-106.76%;24.55%;-0.644;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
227.29%;-106.89%;22.74%;-2.124;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
227.15%;-107.02%;21.94%;-0.483;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
227.09%;-107.08%;22.39%;-1.949;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
226.86%;-107.32%;19.74%;-0.837;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
226.81%;-107.36%;22.83%;-1.459;{'roe': 0.3, 'fcfy': 0.6, 'revenue_growth': 0.1}
226.78%;-107.39%;18.14%;-0.577;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
226.73%;-107.45%;21.91%;-0.16;{'fcfy': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.7}
226.52%;-107.65%;22.05%;-0.1;{'roe': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
226.51%;-107.66%;22.49%;-0.94;{'roe': 0.8, 'revenue_growth': 0.2}
226.36%;-107.82%;21.79%;-0.707;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
225.92%;-108.25%;19.72%;-0.39;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
225.92%;-108.26%;21.29%;-0.72;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
225.75%;-108.42%;21.23%;-1.067;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
225.51%;-108.67%;20.45%;-0.265;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
225.30%;-108.88%;20.79%;-1.18;{'roe': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.8}
225.30%;-108.88%;27.04%;-0.703;{'roe': 0.5, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
225.08%;-109.09%;18.91%;-0.738;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
224.86%;-109.31%;25.50%;-0.627;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
224.71%;-109.47%;20.68%;-1.52;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
224.61%;-109.57%;21.26%;-1.001;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
224.44%;-109.74%;23.07%;-1.487;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
223.76%;-110.41%;23.81%;-1.046;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
223.69%;-110.49%;26.62%;-0.883;{'roe': 0.6, 'fcfy': 0.1, 'revenue_growth': 0.3}
223.48%;-110.69%;26.10%;-0.938;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
223.33%;-110.85%;20.47%;-0.603;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
223.33%;-110.85%;20.14%;-0.053;{'roe': 0.2, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
223.33%;-110.85%;23.61%;-0.839;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
223.21%;-110.96%;19.36%;-1.699;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
222.83%;-111.34%;19.95%;-0.718;{'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
222.78%;-111.39%;21.61%;-0.232;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
222.75%;-111.43%;20.24%;-1.478;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
222.57%;-111.60%;29.35%;-1.113;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
222.41%;-111.77%;20.92%;-0.621;{'roe': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.7}
222.17%;-112.01%;20.48%;-0.184;{'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
221.73%;-112.44%;20.07%;-1.166;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.4}
221.52%;-112.65%;22.21%;-1.409;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
221.43%;-112.74%;20.56%;-0.851;{'roe': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.8}
221.41%;-112.77%;21.72%;-0.962;{'roic_wacc': 0.1, 'dividend_yield': 0.9}
220.94%;-113.24%;20.89%;-0.332;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
220.69%;-113.48%;19.83%;-0.887;{'fcfy': 0.4, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
220.57%;-113.61%;21.57%;-0.393;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
220.34%;-113.83%;20.38%;-0.842;{'fcfy': 0.2, 'roic_wacc': 0.3, 'dividend_yield': 0.5}
219.97%;-114.20%;25.70%;-1.169;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
219.95%;-114.22%;21.74%;-1.839;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
219.78%;-114.39%;27.86%;-0.664;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
219.71%;-114.46%;26.85%;-1.766;{'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
219.31%;-114.87%;24.11%;-0.042;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
218.98%;-115.19%;24.30%;-0.887;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
218.86%;-115.31%;18.33%;-0.292;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
218.66%;-115.51%;19.88%;-1.111;{'fcfy': 0.3, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
218.43%;-115.75%;22.02%;-0.3;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
218.31%;-115.86%;20.70%;-1.372;{'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
218.31%;-115.87%;18.80%;-0.267;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
218.23%;-115.95%;22.56%;-1.887;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.3}
218.17%;-116.01%;21.19%;-0.151;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
217.87%;-116.30%;21.03%;-0.012;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
217.69%;-116.49%;18.80%;-0.335;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
217.23%;-116.95%;20.51%;-0.621;{'roe': 0.7, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
217.13%;-117.05%;19.83%;-0.993;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
217.12%;-117.06%;23.56%;-0.97;{'roe': 0.7, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
216.70%;-117.48%;25.90%;-0.627;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
216.63%;-117.54%;21.22%;-0.962;{'roe': 0.1, 'dividend_yield': 0.9}
216.57%;-117.60%;20.18%;-1.403;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
216.57%;-117.61%;21.06%;-0.657;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
216.45%;-117.73%;24.03%;-1.161;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
216.38%;-117.80%;22.52%;-1.215;{'fcfy': 0.6, 'roic_wacc': 0.4}
215.94%;-118.23%;18.84%;-0.949;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.4, 'dividend_yield': 0.2}
215.79%;-118.38%;19.36%;-0.416;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
215.63%;-118.54%;19.88%;-1.286;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
215.60%;-118.58%;20.15%;-0.828;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
215.52%;-118.66%;24.30%;-2.073;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
215.43%;-118.74%;19.81%;-0.701;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
215.31%;-118.87%;24.15%;-0.748;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
215.15%;-119.03%;23.38%;-2.25;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
215.05%;-119.13%;20.73%;-1.72;{'roe': 0.5, 'fcfy': 0.4, 'roic_wacc': 0.1}
215.00%;-119.17%;19.58%;-0.556;{'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
214.76%;-119.41%;21.64%;-1.72;{'roe': 0.4, 'fcfy': 0.5, 'roic_wacc': 0.1}
214.49%;-119.68%;24.00%;-0.318;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
214.33%;-119.84%;24.89%;-1.965;{'fcfy': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
214.29%;-119.89%;20.65%;-0.887;{'fcfy': 0.5, 'roic_wacc': 0.5}
214.18%;-120.00%;26.69%;-0.893;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
213.68%;-120.50%;20.79%;-1.478;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
213.60%;-120.57%;27.74%;-0.85;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
213.59%;-120.58%;23.51%;-0.192;{'roe': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
213.58%;-120.59%;22.96%;-0.551;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
213.30%;-120.87%;22.20%;-1.165;{'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.8}
213.30%;-120.88%;25.31%;-1.124;{'roe': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
213.19%;-120.99%;23.40%;-0.886;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
213.06%;-121.11%;22.78%;-0.618;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
213.02%;-121.15%;19.72%;-0.678;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
212.79%;-121.38%;21.73%;-0.633;{'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.7}
212.59%;-121.58%;20.98%;-0.975;{'roe': 0.2, 'dividend_yield': 0.8}
212.56%;-121.62%;20.30%;-1.826;{'roe': 0.4, 'fcfy': 0.4, 'roic_wacc': 0.2}
212.53%;-121.65%;24.56%;-1.93;{'fcfy': 0.6, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
211.83%;-122.34%;23.07%;-0.125;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
211.80%;-122.38%;20.48%;-1.397;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
210.91%;-123.27%;19.44%;-0.589;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
210.16%;-124.02%;21.89%;-2.17;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
209.79%;-124.38%;21.83%;-0.655;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
209.65%;-124.52%;20.71%;-1.29;{'fcfy': 0.4, 'roic_wacc': 0.4, 'dividend_yield': 0.2}
209.64%;-124.54%;24.00%;-0.34;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
209.48%;-124.69%;22.35%;-1.86;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
209.22%;-124.96%;23.31%;-0.877;{'roe': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
208.82%;-125.36%;25.16%;-0.52;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
208.68%;-125.50%;22.50%;-0.707;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
208.63%;-125.55%;21.54%;-0.875;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
208.45%;-125.72%;22.92%;-0.97;{'roe': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
208.45%;-125.73%;23.51%;-0.815;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
208.27%;-125.91%;20.73%;-1.216;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
208.03%;-126.15%;23.34%;-0.986;{'roe': 0.7, 'revenue_growth': 0.3}
207.98%;-126.20%;20.34%;-1.502;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
207.68%;-126.50%;18.08%;-0.321;{'fcfy': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
207.38%;-126.79%;21.65%;-1.229;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
207.06%;-127.12%;20.38%;-1.312;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.3}
206.98%;-127.19%;21.80%;-2.123;{'roe': 0.3, 'fcfy': 0.5, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
206.66%;-127.52%;22.10%;-2.25;{'roe': 0.2, 'fcfy': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
206.62%;-127.55%;21.95%;-1.143;{'roe': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
206.55%;-127.63%;19.58%;-0.309;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
206.50%;-127.68%;29.15%;-0.936;{'roe': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.5}
206.17%;-128.00%;20.60%;-1.477;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
205.80%;-128.37%;22.90%;-0.528;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
205.56%;-128.62%;18.42%;-1.2;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.3, 'dividend_yield': 0.2}
205.39%;-128.79%;25.80%;-1.084;{'roe': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
204.82%;-129.35%;23.19%;-0.65;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
204.17%;-130.00%;21.76%;-2.134;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.3}
203.55%;-130.63%;20.81%;-1.601;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
201.91%;-132.26%;21.71%;-1.272;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
201.69%;-132.48%;22.53%;-0.912;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
201.29%;-132.88%;21.14%;-1.773;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.4}
200.98%;-133.20%;23.82%;-1.049;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
200.90%;-133.27%;24.60%;-0.627;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
200.47%;-133.71%;19.89%;-0.934;{'roic_wacc': 0.2, 'dividend_yield': 0.8}
199.97%;-134.21%;20.40%;-1.049;{'fcfy': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
198.75%;-135.43%;22.83%;-2.054;{'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
198.57%;-135.61%;21.54%;-0.451;{'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.6}
197.29%;-136.88%;20.75%;-2.225;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
196.85%;-137.33%;18.18%;-0.699;{'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
196.53%;-137.65%;21.67%;-1.538;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
194.93%;-139.24%;21.30%;0.033;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
194.64%;-139.54%;22.06%;-1.272;{'fcfy': 0.5, 'roic_wacc': 0.3, 'dividend_yield': 0.2}
194.35%;-139.83%;22.80%;-0.886;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
194.05%;-140.12%;21.24%;-1.72;{'roe': 0.3, 'fcfy': 0.5, 'roic_wacc': 0.2}
192.45%;-141.73%;23.75%;-0.782;{'roe': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
191.77%;-142.41%;19.95%;-0.604;{'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
190.26%;-143.91%;23.10%;-1.314;{'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
189.60%;-144.57%;23.19%;-1.195;{'fcfy': 0.6, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
189.10%;-145.07%;23.62%;-1.459;{'roe': 0.3, 'fcfy': 0.6, 'roic_wacc': 0.1}
187.10%;-147.08%;21.70%;-1.18;{'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.8}
186.96%;-147.21%;22.24%;-1.944;{'roe': 0.2, 'fcfy': 0.6, 'roic_wacc': 0.2}
186.64%;-147.54%;21.49%;-2.123;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
184.22%;-149.96%;22.12%;-1.283;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
183.79%;-150.39%;21.16%;-0.903;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
182.08%;-152.10%;25.01%;-0.829;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
181.54%;-152.64%;21.13%;-1.722;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
181.16%;-153.02%;22.57%;-0.738;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
180.06%;-154.12%;22.13%;-0.582;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
178.30%;-155.87%;26.04%;-0.95;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
177.63%;-156.55%;20.98%;-0.99;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
177.44%;-156.74%;22.68%;-1.34;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
175.73%;-158.44%;21.43%;-1.489;{'fcfy': 0.5, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
174.47%;-159.70%;25.56%;-0.673;{'roe': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
153.75%;-180.43%;19.35%;-1.345;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
