10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
315.30%;-18.88%;29.76%;-0.714;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
315.27%;-18.90%;23.26%;-0.032;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
314.96%;-19.21%;27.08%;-1.045;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
314.84%;-19.34%;23.66%;-0.629;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
314.81%;-19.37%;20.58%;-1.523;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
314.66%;-19.51%;27.94%;-1.239;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
314.32%;-19.85%;22.30%;-0.337;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
313.90%;-20.28%;31.79%;-0.557;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.7}
313.78%;-20.39%;18.66%;-0.388;{'roe': 0.5, 'roic_wacc': 0.3, 'dividend_yield': 0.2}
313.77%;-20.40%;19.43%;-0.174;{'roe': 0.4, 'roic_wacc': 0.4, 'dividend_yield': 0.2}
313.59%;-20.58%;20.67%;-0.468;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
313.55%;-20.62%;18.28%;0.357;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.7}
313.54%;-20.63%;19.70%;-0.251;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
313.46%;-20.72%;20.05%;-0.516;{'roe': 0.4, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
313.38%;-20.80%;21.03%;-0.453;{'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
313.16%;-21.01%;29.17%;-0.237;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
312.95%;-21.23%;21.81%;0.026;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
312.78%;-21.39%;30.82%;-0.272;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
312.52%;-21.65%;25.40%;-2.027;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
312.22%;-21.95%;25.47%;-1.569;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
312.19%;-21.99%;28.19%;-1.171;{'fcfy': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
312.17%;-22.01%;20.73%;-0.349;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
311.81%;-22.36%;25.86%;-1.912;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
311.40%;-22.78%;20.64%;-0.03;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
311.35%;-22.83%;19.39%;0.259;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.5}
311.23%;-22.94%;22.98%;0.063;{'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
311.21%;-22.97%;21.11%;-0.462;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
311.01%;-23.17%;21.88%;0.086;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
310.82%;-23.35%;23.87%;0.167;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.4}
310.48%;-23.70%;26.96%;-2.057;{'fcfy': 0.7, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
