10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
279.55%;139.98%;28.30%;0.937;0.302;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
278.83%;139.25%;-0.67%;0.94;-0.007;{'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
278.48%;138.91%;33.75%;0.962;0.351;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
277.78%;138.20%;-0.38%;0.876;-0.004;{'roic_wacc': 0.4, 'revenue_growth': 0.6}
277.69%;138.12%;38.43%;0.948;0.406;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.5}
277.59%;138.02%;33.86%;0.943;0.359;{'roe': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
277.48%;137.91%;40.37%;1.02;0.396;{'fcfy': 0.7, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
277.39%;137.81%;29.53%;0.927;0.319;{'roe': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
277.38%;137.81%;25.67%;0.919;0.279;{'roe': 0.3, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
276.96%;137.38%;29.78%;0.946;0.315;{'roe': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
276.95%;137.37%;26.94%;0.956;0.282;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
276.56%;136.99%;6.66%;0.973;0.068;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
276.23%;136.65%;19.31%;0.988;0.195;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
276.22%;136.65%;4.68%;0.928;0.05;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
275.98%;136.40%;-5.39%;0.888;-0.061;{'roic_wacc': 0.3, 'revenue_growth': 0.7}
275.78%;136.21%;41.32%;1.082;0.382;{'roe': 0.4, 'fcfy': 0.4, 'revenue_growth': 0.2}
274.60%;135.03%;25.17%;0.895;0.281;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
274.58%;135.00%;50.72%;0.939;0.54;{'fcfy': 0.4, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
274.22%;134.64%;40.85%;0.974;0.419;{'roe': 0.1, 'fcfy': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
273.98%;134.41%;27.01%;0.935;0.289;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
273.56%;133.99%;43.33%;0.996;0.435;{'fcfy': 0.8, 'roic_wacc': 0.2}
273.55%;133.97%;39.49%;0.968;0.408;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.5}
273.48%;133.90%;19.51%;0.863;0.226;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
273.28%;133.70%;33.48%;0.947;0.353;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
273.26%;133.69%;53.71%;0.957;0.561;{'roe': 0.2, 'fcfy': 0.5, 'dividend_yield': 0.3}
273.21%;133.63%;44.63%;0.994;0.449;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.4}
