10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
286.92%;147.35%;51.35%;0.969;0.53;{'fcfy': 0.3, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
286.84%;147.27%;31.99%;0.963;0.332;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
286.33%;146.76%;26.15%;0.975;0.268;{'roe': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
286.33%;146.76%;52.21%;0.969;0.539;{'fcfy': 0.4, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
286.22%;146.65%;6.65%;0.914;0.073;{'roic_wacc': 0.3, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
285.98%;146.40%;46.81%;0.962;0.487;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
285.50%;145.92%;30.38%;0.96;0.316;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
285.16%;145.58%;32.89%;0.982;0.335;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
285.00%;145.42%;35.91%;0.956;0.376;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
284.84%;145.26%;-2.47%;0.924;-0.027;{'roic_wacc': 0.3, 'revenue_growth': 0.7}
284.77%;145.20%;37.11%;0.947;0.392;{'roe': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
