292.1959339950332 %;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
256.7798461704386 %;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
266.12322898354677 %;{'roe': 0.3, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
261.5796787950571 %;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
328.8543473931355 %;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
207.64136928289426 %;{'roe': 0.4, 'roic_wacc': 0.4, 'dividend_yield': 0.2}
315.63044425955155 %;{'roe': 0.3, 'fcfy': 0.3, 'dividend_yield': 0.4}
412.8141106835257 %;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
353.2441166916871 %;{'roe': 0.4, 'fcfy': 0.2, 'revenue_growth': 0.4}
351.23064647154854 %;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.2}
434.2779521832439 %;{'roe': 0.1, 'fcfy': 0.7, 'revenue_growth': 0.2}
216.7968792885905 %;{'roe': 0.7, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
322.35300649276815 %;{'roe': 0.2, 'fcfy': 0.7, 'roic_wacc': 0.1}
291.7836456834567 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
277.2155673706858 %;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
314.40276468676404 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
264.9235493114293 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
275.56481626297875 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
232.22687477204923 %;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
295.7962902635573 %;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
256.4150068237961 %;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.4}
263.7661823031885 %;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
314.0088097373078 %;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
277.0092782194486 %;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
347.79576287629436 %;{'roe': 0.5, 'fcfy': 0.5}
214.7998705603078 %;{'roe': 0.5, 'roic_wacc': 0.5}
266.12811049253054 %;{'roe': 0.5, 'revenue_growth': 0.5}
251.31939914047842 %;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
180.12505258826928 %;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
319.00193741988625 %;{'roe': 0.6, 'fcfy': 0.4}
369.7933498733638 %;{'roe': 0.3, 'fcfy': 0.7}
290.6556847297656 %;{'roe': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
