"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Utdelning";"P/E";"P/S";"P/B";"EV";"ROIC";"Antal Aktier";"ROE";"Vinst/Aktie";"FCF";"Vinsttillväxt";"Börsvärde"
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  5 år";"Snitt 5 år";"Senaste";"Senaste";"Senaste";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"År. tillv. 5 år";"Senaste"
"Apetit";"Finland";"Small Cap";"Dagligvaror";"Livsmedel";"APETIT";"Aktier";"Q4-2017";-0.169697;0.76;-141.5289;0.2698208;0.7561229;74.1126;-0.006265265;6.198;-0.00443483;-0.0968;13.64;"";84.9126
"Apple";"USA";"NYSE & Nasdaq
";"Informationsteknik";"Elektronisk utrustning";"AAPL";"Aktier";"Q2-2018";1.965425;2.178;17.92807;3.863473;7.533921;798522.8;0.2162313;5068.877;0.3877448;10.5187;33713;0.1296531;955888.8
"AppSpotr";"Sverige";"Aktietorget";"Informationsteknik";"Programvara & Internet";"APTR";"Aktier";"Q3-2018";"";"";-2.922673;172.4172;3.967595;37.22613;"";11.839;"";-1.2557;"";"";43.44913
"Apptix";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"APP";"Aktier";"Q1-2018";-0.7830803;1.546;-18.61702;"";0.1223384;-428.735;-10.48044;81.43;0.4815944;-0.0376;66.61164;"";57.001
"Aptahem";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"APTA";"Aktier";"Q1-2018";"";"";-3.75306;6145.731;1.653475;25.42512;-3.41763;15.587;-0.4803348;-0.7354;-10.1692;"";43.02012
"AQ Group";"Sverige";"Mid Cap";"Industri";"Produktion";"AQ";"Aktier";"Q1-2018";2.447005;2.5;18.55932;0.8217285;1.949035;3523.953;0.1376788;18.294;0.1355479;10.0758;65.4314;0.08134751;3420.978
"Aqua Bio Technology";"Norge";"Oslo Axess";"Sällanköpsvaror";"Konsument";"ABT";"Aktier";"Q2-2017";-0.6974359;1.1;-9.82024;1.231695;0.7899358;-10.0993;-0.9398338;6.943;0.04023778;-0.6008;10.54858;"";40.9637
"Aqualis";"Norge";"OB Standard";"Energi";"Olja & Gas";"AQUA";"Aktier";"Q1-2018";"";"";-3.909367;0.8397145;0.9213831;134.7599;-0.1812003;43.506;-0.1243125;-1.2534;-18.67936;"";213.1794
"Arbona A";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"ARBO MTF A";"Pref";"Q4-2017";-0.0484581;"";16.07143;1.065535;1.180712;70.10624;-2.274378;37.164;-0.0153632;0.1344;-18.471;-0.0005941775;80.27424
"Arbona B";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"ARBO MTF B";"Aktier";"Q4-2017";-0.1707317;"";12.64881;0.8386158;0.929264;53.0108;-2.274378;37.164;-0.0153632;0.1344;-18.471;-0.0005941775;63.1788
